Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
"33010DO007_2009 Births, Australia, 2009",,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Wed 3 Nov 2010,,,,,,,,,,,,,,,,,,
"Table 7.1 Births, Country of birth of mother–2009",,,,,,,,,,,,,,,,,,
,,,AGE–SPECIFIC FERTILITY RATE,,,,,,,,,FATHER BORN IN,,,NUPTIALITY,,,
,Total births,Estimated resident female population,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Total confinements,Australia,Same overseas country as mother,Other country,Nuptial,Ex-nuptial,Median age of mother,
Country of birth of mother,no.,no.,rate,rate,rate,rate,rate,rate,rate,rate,no.,%,%,%,%,%,years,
Total,"295,738","5,426,191",16.6,55.5,104.4,126.2,68.8,13.7,0.7,1.93,"291,240",71.0,14.4,14.6,65.4,34.6,30.6,
Total overseas-born,"81,400","1,545,376",11.1,44.1,93.8,124.3,72.9,15.0,0.8,1.81,"80,261",31.3,51.5,17.2,79.7,20.3,31.5,
Oceania and Antarctica,"226,457","4,084,708",17.8,60.1,109.0,126.4,67.3,13.2,0.6,1.97,"222,906",84.0,2.3,13.7,59.7,40.3,30.3,
Australia,"213,985","3,880,815",17.5,59.1,108.6,126.7,67.1,13.0,0.6,1.96,"210,628",86.4,,13.6,60.1,39.9,30.3,
Fiji,"1,114","21,539",10.4,64.2,110.4,99.4,48.1,12.7,0.5,1.73,"1,099",18.9,65.8,15.3,86.4,13.6,30.4,
New Zealand,"9,352","156,913",31.3,83.8,110.8,118.7,68.3,14.1,0.6,2.14,"9,201",46.7,38.0,15.3,47.9,52.1,30.5,
Papua New Guinea,698,"11,396",16.7,82.1,119.0,132.7,78.4,13.8,1.8,2.22,687,64.8,16.5,18.8,62.9,37.1,33.2,
Samoa,631,"6,134",44.8,178.9,249.0,217.7,134.0,40.6,1.0,4.33,620,12.4,59.3,28.3,61.3,38.7,31.3,
Other,677,"7,911",35.4,141.8,184.8,165.4,102.4,31.3,2.1,3.32,671,21.0,50.2,28.8,63.9,36.1,31.2,
North-West Europe,"12,920","292,936",7.6,33.7,78.5,136.0,83.4,14.9,0.8,1.78,"12,686",55.7,24.5,19.8,72.3,27.7,33.8,
Austria,95,"2,254",5.6,36.7,57.7,103.6,61.0,18.3,1.4,1.42,94,57.4,4.3,38.3,71.3,28.7,34.0,
Denmark,122,"2,512",3.1,16.6,75.4,122.0,88.6,12.1,3.0,1.60,120,71.2,9.3,19.5,73.3,26.7,34.6,
Finland,67,"1,816",0.0,26.9,53.5,130.2,81.7,13.1,0.7,1.53,67,67.2,9.0,23.9,76.1,23.9,33.5,
France,411,"8,487",0.8,13.1,54.1,141.0,95.5,18.8,1.3,1.62,407,45.3,26.0,28.7,70.3,29.7,32.9,
Germany,937,"20,621",5.5,23.0,60.6,112.3,82.8,19.1,0.8,1.52,924,56.9,17.8,25.3,68.0,32.0,33.5,
Ireland,786,"16,580",2.9,15.3,40.8,128.8,105.2,18.4,0.8,1.56,768,51.7,23.1,25.2,77.2,22.8,34.0,
Netherlands,440,"8,135",5.6,18.9,96.8,146.8,95.9,14.3,0.5,1.89,426,56.1,21.6,22.3,74.2,25.8,33.7,
Switzerland,137,"3,678",1.4,19.9,61.5,139.8,98.8,16.4,0.5,1.69,135,63.0,14.8,22.2,78.5,21.5,33.8,
United Kingdom,"9,542","221,573",8.7,42.2,89.8,138.7,80.9,14.4,0.8,1.88,"9,365",55.7,26.4,17.8,72.6,27.4,33.9,
Other,383,"7,280",1.8,15.8,66.4,149.1,98.7,15.3,0.4,1.74,380,61.3,12.8,25.9,64.5,35.5,32.6,
Southern and Eastern Europe,"4,503","114,405",6.1,43.6,92.7,106.1,58.8,11.3,0.6,1.60,"4,437",44.4,32.0,23.6,83.4,16.6,31.8,
Bosnia and Herzegovina,435,"10,841",4.2,47.5,121.5,105.6,41.5,8.4,0.4,1.65,429,22.3,57.6,20.1,87.2,12.8,29.4,
Croatia,298,"10,844",2.5,30.2,97.9,86.4,40.2,9.9,0.6,1.34,293,45.5,29.7,24.8,79.5,20.5,30.2,
Cyprus,83,"2,944",0.0,62.5,109.4,117.1,58.9,11.4,0.3,1.80,81,65.4,9.9,24.7,95.1,4.9,34.4,
Czech Republic,177,"2,984",6.7,20.8,69.4,110.4,90.3,16.6,0.0,1.57,172,56.5,15.3,28.2,79.7,20.3,32.5,
Estonia,17,484,0.0,31.4,65.8,81.8,60.6,47.6,0.0,1.44,17,64.7,17.6,17.6,64.7,35.3,32.1,
Former Yugoslav Republic of Macedonia (FYROM),428,"10,070",15.6,79.8,130.2,107.9,32.6,5.8,0.4,1.86,422,50.1,40.1,9.8,92.4,7.6,29.6,
Greece,161,"8,726",2.1,22.5,54.7,79.6,46.6,13.6,0.4,1.10,160,67.7,17.7,14.6,87.5,12.5,35.0,
Hungary,124,"2,529",3.9,32.9,73.7,102.5,69.5,17.7,0.0,1.50,124,57.3,19.4,23.4,79.0,21.0,33.2,
Italy,294,"12,925",1.1,17.3,45.6,102.5,78.3,15.0,0.8,1.30,288,64.2,15.8,20.0,78.1,21.9,35.8,
Latvia,27,394,0.0,24.9,101.0,98.0,87.0,46.5,0.0,1.79,27,51.9,7.4,40.7,74.1,25.9,29.5,
Lithuania,22,346,0.0,45.5,136.9,96.0,93.3,22.7,0.0,1.97,22,40.9,31.8,27.3,68.2,31.8,30.5,
Malta,92,"3,238",8.2,70.6,109.6,111.9,62.9,6.1,0.2,1.85,92,67.0,7.7,25.3,82.6,17.4,31.6,
Poland,561,"10,835",6.4,27.1,77.1,107.7,66.8,8.0,0.5,1.47,555,50.2,29.5,20.4,78.7,21.3,32.0,
Portugal,162,"4,107",7.8,41.8,82.8,118.7,62.1,8.1,0.3,1.61,158,52.3,25.2,22.6,75.3,24.7,31.7,
Romania,260,"4,960",7.0,60.4,98.5,108.9,62.4,11.8,1.3,1.75,256,26.2,56.7,17.1,86.7,13.3,32.0,
Russian Federation,397,"7,719",2.9,27.8,99.9,110.0,70.5,17.8,1.3,1.65,391,35.2,30.2,34.6,83.6,16.4,31.8,
Spain,132,"2,985",19.6,14.2,50.8,116.1,93.5,13.2,0.5,1.54,130,54.6,10.8,34.6,76.2,23.8,35.3,
Montenegro,20,281,40.0,74.1,156.9,225.2,117.6,16.1,0.0,3.15,20,50.0,15.0,35.0,90.0,10.0,32.5,
Serbia,290,"8,672",11.3,52.1,92.7,93.7,50.6,9.9,0.3,1.55,285,38.5,29.7,31.8,88.4,11.6,30.6,
Ukraine,195,"3,428",2.5,41.7,119.5,114.4,81.4,11.8,0.6,1.86,192,23.8,38.4,37.8,84.9,15.1,32.2,
