Country of birth of father,x,y,2009,2010,2011,2012,2013,2014,2015,2016
Total,,,"285,783","288,568","291,563","309,582","308,065","299,697","295,107","300,894"
Total overseas-born,,,"82,665","87,652","91,452","98,075","99,233","100,410","103,813","109,036"
Oceania and Antarctica,,,"216,640","214,604","214,132","215,867","213,469","203,741","205,438","206,163"
Australia,1121,450,"202,683","200,522","199,722","200,971","198,493","189,140","190,932","191,734"
Fiji,1274,420,"1,169","1,201","1,246","1,200","1,228","1,169","1,183","1,123"
New Zealand,1255,523,"10,235","10,492","10,713","11,230","11,225","11,049","10,844","10,843"
Papua New Guinea,1154,375,778,683,661,592,605,543,478,452
Samoa,,,841,788,866,927,945,924,993,"1,038"
Other,,,934,918,924,947,973,916,"1,008",973
North-West Europe,,,"15,831","16,081","15,692","15,853","15,631","14,905","15,122","15,237"
Austria,691,152,82,106,86,77,70,73,68,79
Denmark,674,114,118,114,101,111,95,95,87,80
Finland,736,85,27,39,29,31,44,24,45,34
France,649,153,452,488,470,504,545,589,646,677
Germany,676,136,878,900,887,831,825,788,812,823
Ireland,610,129,"1,021","1,073","1,250","1,324","1,564","1,647","1,888","1,963"
Netherlands,660,132,555,487,448,446,448,390,378,337
Switzerland,670,153,138,150,156,161,148,122,140,136
United Kingdom,631,123,"12,267","12,430","11,981","12,065","11,590","10,890","10,743","10,815"
Other,,,293,294,284,303,302,287,315,293
Southern and Eastern Europe,,,"4,652","4,519","4,459","4,550","4,522","4,485","4,741","4,738"
Bosnia and Herz.,705,166,469,457,469,486,458,506,471,516
Croatia,698,159,331,332,362,304,332,289,322,319
Cyprus,757,203,138,119,99,106,108,90,98,73
Czech Rep.,694,143,118,105,108,137,111,103,129,121
Estonia,733,106,5,7,12,16,16,12,24,20
Macedonia,717,175,463,431,380,396,405,361,364,390
Greece,720,189,321,284,279,268,258,242,262,253
Hungary,709,153,94,116,115,99,123,120,123,104
Italy,683,172,535,522,497,516,522,511,543,634
Latvia,729,111,12,17,8,21,15,8,18,17
Lithuania,726,120,14,8,7,16,15,19,21,17
Malta,,,113,119,80,111,97,81,84,73
Poland,710,333,434,477,434,457,447,414,452,420
Portugal,611,185,226,188,206,223,210,200,209,202
Romania,728,159,241,253,261,247,232,235,265,248
Russia,999,91,203,232,268,266,264,296,306,329
Spain,627,180,148,108,116,114,151,156,182,181
Montenegro,707,171,22,18,20,17,24,19,12,26
Serbia,713,167,303,296,314,308,285,332,307,282
Ukraine,752,144,159,162,142,158,162,148,191,175
Other,,,303,268,282,284,287,343,358,338
North Africa and the Middle East,,,"9,208","9,320","9,727","10,158","10,193","10,124","10,830","10,857"
Egypt,747,239,477,511,544,551,601,594,670,641
Iran,829,213,430,480,623,715,885,"1,109","1,216","1,360"
Iraq,792,230,"1,690","1,713","1,814","1,934","1,921","1,894","2,048","2,120"
Israel,793,216,283,314,272,305,281,299,265,299
Lebanon,768,205,"2,892","2,788","2,855","2,851","2,794","2,537","2,699","2,481"
Syria,777,201,250,272,259,284,267,287,330,320
Turkey,765,187,756,719,628,690,627,654,659,632
Other,,,"2,430","2,523","2,732","2,828","2,817","2,750","2,943","3,004"
South-East Asia,,,"10,802","10,973","11,458","12,970","12,281","12,094","12,377","12,968"
Myanmar,980,256,449,500,538,595,733,870,835,858
