hash,temp
17/3/18 22:33,30.6
17/3/18 22:43,30.5
17/3/18 22:53,30.43
17/3/18 23:03,30.27
17/3/18 23:13,30.33
17/3/18 23:23,30.2
17/3/18 23:33,30.1
17/3/18 23:43,30.13
17/3/18 23:53,30.13
18/3/18 0:03,30.03
18/3/18 0:13,30.1
18/3/18 0:23,30
18/3/18 0:33,30
18/3/18 0:53,29.9
18/3/18 1:03,29.96
18/3/18 1:13,29.96
18/3/18 1:23,29.96
18/3/18 1:33,29.93
18/3/18 1:43,30.03
18/3/18 1:53,29.83
18/3/18 2:03,29.86
18/3/18 2:13,29.8
18/3/18 2:23,29.56
18/3/18 2:33,29.56
18/3/18 2:43,29.5
18/3/18 2:53,29.26
18/3/18 3:03,29.3
18/3/18 3:13,29.23
18/3/18 3:23,29
18/3/18 3:33,29.03
18/3/18 3:43,28.83
18/3/18 3:53,28.8
18/3/18 4:03,28.73
18/3/18 4:13,28.73
18/3/18 4:23,28.87
18/3/18 4:33,28.83
18/3/18 4:43,28.83
18/3/18 4:53,28.66
18/3/18 5:03,28.63
18/3/18 5:13,28.53
18/3/18 5:23,28.5
18/3/18 5:33,28.53
18/3/18 5:43,28.57
18/3/18 5:53,28.47
18/3/18 6:03,28.47
18/3/18 6:13,28.47
18/3/18 6:23,28.6
18/3/18 6:33,28.76
18/3/18 6:43,28.6
18/3/18 6:53,28.5
18/3/18 7:03,28.27
18/3/18 7:13,28.3
18/3/18 7:23,28.37
18/3/18 7:33,28.4
18/3/18 7:43,28.47
18/3/18 7:53,28.66
18/3/18 8:03,28.66
18/3/18 8:13,28.63
18/3/18 8:33,28.83
18/3/18 8:43,29.06
18/3/18 8:53,29.37
18/3/18 9:03,29.73
18/3/18 9:13,30.56
18/3/18 9:23,31.8
18/3/18 9:33,32.5
18/3/18 9:43,33
18/3/18 9:53,33.53
18/3/18 10:03,33.6
18/3/18 10:13,33.73
18/3/18 10:23,34
18/3/18 10:33,34.73
18/3/18 10:43,34.93
18/3/18 10:53,35.3
18/3/18 11:03,36
18/3/18 11:13,35.9
18/3/18 11:23,36.4
18/3/18 11:33,36.83
18/3/18 11:43,37.47
18/3/18 11:53,38.07
18/3/18 12:03,38.6
18/3/18 12:13,38.63
18/3/18 12:23,38.33
18/3/18 12:33,38.87
18/3/18 12:43,38.66
18/3/18 12:53,39.56
18/3/18 13:03,39.83
18/3/18 13:13,39.5
18/3/18 13:23,38.87
18/3/18 13:33,39.53
18/3/18 13:43,39.33
18/3/18 13:53,39.87
18/3/18 14:03,39.66
18/3/18 14:13,40
18/3/18 14:23,40.3
18/3/18 14:33,39.7
18/3/18 14:43,39.8
18/3/18 14:53,39.87
18/3/18 15:03,40.16
18/3/18 15:13,40.5
18/3/18 15:23,40.43
18/3/18 15:33,40.6
18/3/18 15:43,39.9
18/3/18 15:53,40.3
18/3/18 16:03,40.13
18/3/18 16:13,39.36
18/3/18 16:23,40.53
18/3/18 16:33,40.2
18/3/18 16:43,40.13
18/3/18 16:53,39.6
18/3/18 17:03,39.56
18/3/18 17:13,39.83
18/3/18 17:23,40
18/3/18 17:33,40.13
18/3/18 17:43,39.46
18/3/18 17:53,39.1
18/3/18 18:03,39.26
18/3/18 18:13,39
18/3/18 18:23,38.63
18/3/18 18:33,38.8
18/3/18 18:43,37.6
18/3/18 18:53,37.2
18/3/18 19:03,37.1
18/3/18 19:13,37.06
18/3/18 19:23,36.93
18/3/18 19:33,36.73
18/3/18 19:43,36.6
18/3/18 19:53,36.46
18/3/18 20:03,36.46
18/3/18 20:13,36.23
18/3/18 20:23,36.6
18/3/18 20:33,36.6
18/3/18 20:43,36.37
18/3/18 20:53,36.3
18/3/18 21:03,36.27
18/3/18 21:13,37
18/3/18 21:23,37.43
18/3/18 21:33,37.37
18/3/18 21:43,37.2
18/3/18 21:53,37.17
18/3/18 22:03,37.17
18/3/18 22:13,36.53
18/3/18 22:23,36.1
18/3/18 22:33,36.1
18/3/18 22:43,34.1
18/3/18 22:53,32.26
18/3/18 23:03,31.33
18/3/18 23:13,30.97
18/3/18 23:23,30.77
18/3/18 23:33,30.6
18/3/18 23:43,30.43
18/3/18 23:53,30.37
19/3/18 0:03,30.26
19/3/18 0:13,30.2
19/3/18 0:23,30.06
19/3/18 0:33,30.03
19/3/18 0:43,30
19/3/18 0:53,29.96
19/3/18 1:03,29.93
19/3/18 1:13,29.76
19/3/18 1:23,29.77
19/3/18 1:33,29.77
19/3/18 1:43,29.73
19/3/18 1:53,29.7
19/3/18 2:03,29.57
19/3/18 2:13,29.53
19/3/18 2:23,29.53
19/3/18 2:33,29.5
19/3/18 2:43,29.43
19/3/18 2:53,29.3
19/3/18 3:03,29.27
19/3/18 3:13,29.3
19/3/18 3:23,29.27
19/3/18 3:33,29.23
19/3/18 3:43,29.17
19/3/18 3:53,29.17
19/3/18 4:03,29.13
19/3/18 4:13,29.03
19/3/18 4:23,29.13
19/3/18 4:33,29.2
19/3/18 4:43,29.26
19/3/18 4:53,29.23
19/3/18 5:03,29.1
19/3/18 5:13,28.96
19/3/18 5:23,28.93
19/3/18 5:33,28.93
19/3/18 5:43,28.86
19/3/18 5:53,28.9
19/3/18 6:03,28.93
19/3/18 6:13,28.93
19/3/18 6:23,28.9
19/3/18 6:33,28.9
19/3/18 6:43,28.87
19/3/18 6:53,28.87
19/3/18 7:03,28.87
19/3/18 7:13,28.86
19/3/18 7:23,28.96
19/3/18 7:33,29.26
19/3/18 7:43,29.2
19/3/18 7:53,29.26
19/3/18 8:03,29.03
19/3/18 8:13,29.06
19/3/18 8:23,29.1
19/3/18 8:33,29.13
19/3/18 8:43,29.26
19/3/18 8:53,29.56
19/3/18 9:03,29.6
19/3/18 9:13,30.2
19/3/18 9:23,30.43
19/3/18 9:33,30.83
19/3/18 9:43,30.23
19/3/18 9:53,31.07
19/3/18 10:03,31.03
19/3/18 10:13,31.53
19/3/18 10:23,31.63
19/3/18 10:33,31.8
19/3/18 10:43,32.03
19/3/18 10:53,31.87
19/3/18 11:03,32.1
19/3/18 11:13,31.9
19/3/18 11:23,32.36
19/3/18 11:33,32
19/3/18 11:43,32.33
19/3/18 11:53,33.06
19/3/18 12:03,33.3
19/3/18 12:13,33.16
